"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Валидация поля год","tests","2026-05-30","broken","2026-05-30","","test_validation","",""
"","0","Валидация поля год","tests","2026-05-30","broken","2026-05-30","","test_validation","",""
"","0","Валидация поля месяц","tests","2026-05-30","broken","2026-05-30","","test_validation","",""
"","0"," Кредит по данным карты 4444 4444 4444 44442 ","tests","2026-05-30","broken","2026-05-30","","test_ui","",""
"","0","Валидация поля CVC/CVV","tests","2026-05-30","broken","2026-05-30","","test_validation","",""
"","0","Валидация поля владелец","tests","2026-05-30","broken","2026-05-30","","test_validation","",""
"","0","Валидация поля месяц","tests","2026-05-30","broken","2026-05-30","","test_validation","",""
"","0","Валидация поля год","tests","2026-05-30","broken","2026-05-30","","test_validation","",""
"","0","Валидация поля номер карты","tests","2026-05-30","broken","2026-05-30","","test_validation","",""
"","0","Валидация поля месяц","tests","2026-05-30","broken","2026-05-30","","test_validation","",""
"","0","Валидация поля CVC/CVV","tests","2026-05-30","broken","2026-05-30","","test_validation","",""
"","0","Валидация поля год","tests","2026-05-30","broken","2026-05-30","","test_validation","",""
"Поле номер карты","0","Валидация поля номер карты","tests","2026-05-30","broken","2026-05-30","","test_validation","",""
"","0","Валидация поля месяц","tests","2026-05-30","broken","2026-05-30","","test_validation","",""
"","0","Валидация поля CVC/CVV","tests","2026-05-30","broken","2026-05-30","","test_validation","",""
"","0","Платеж по карте одобрен, маскировка номера карты","tests","2026-05-30","passed","2026-05-30","","test_sql","",""
"","0","Валидация поля владелец","tests","2026-05-30","broken","2026-05-30","","test_validation","",""
"","0","Валидация поля владелец","tests","2026-05-30","broken","2026-05-30","","test_validation","",""
"","0","Валидация поля год","tests","2026-05-30","broken","2026-05-30","","test_validation","",""
"","0","Валидация поля месяц","tests","2026-05-30","broken","2026-05-30","","test_validation","",""
"","0","Валидация поля год","tests","2026-05-30","broken","2026-05-30","","test_validation","",""
"","0"," Оплата по карте 4444 4444 4444 44442 ","tests","2026-05-30","broken","2026-05-30","","test_ui","",""
"Поле номер карты","0","Валидация поля номер карты","tests","2026-05-30","broken","2026-05-30","","test_validation","",""
"","0","Валидация поля год","tests","2026-05-30","broken","2026-05-30","","test_validation","",""
"","0","Валидация поля год","tests","2026-05-30","broken","2026-05-30","","test_validation","",""
"","0","Валидация поля владелец","tests","2026-05-30","broken","2026-05-30","","test_validation","",""
"","0","Валидация поля CVC/CVV","tests","2026-05-30","broken","2026-05-30","","test_validation","",""
"Поле номер карты","0","Валидация поля номер карты","tests","2026-05-30","broken","2026-05-30","","test_validation","",""
"","0","Валидация поля месяц","tests","2026-05-30","broken","2026-05-30","","test_validation","",""
"","0","Валидация поля владелец","tests","2026-05-30","broken","2026-05-30","","test_validation","",""
